frenchTitle;genres;averageRating;numVotes;decade
La nuit est mon ennemie;Drama, Mystery;7.2;1700;1950
Maigret et l'affaire Saint-Fiacre;Thriller, Drama, Crime, Mystery;7.0;1602;1950
L'homme qui faisait des miracles;ScienceFiction, Drama, Horror, Sci-Fi;6.3;2584;1950
Marie-Octobre;Drama, Mystery;7.5;1522;1950
La souris qui rugissait;Comedy;6.9;9784;1950
La Malédiction des pharaons;Adventure, Horror;6.6;11769;1950
Aux frontières des Indes;Adventure, Drama;7.1;3257;1950
Orfeu Negro;Music, Musical, Romance, Drama, Fantasy;7.4;12850;1950
Incertitude;Drama, Crime;7.6;26534;1950
Les 400 Coups;Drama, Crime;8.0;131452;1950
Les chemins de la haute ville;Romance, Drama;7.5;7810;1950
Opération Scotland Yard;Thriller, Drama, Crime, Mystery;7.2;2741;1950
Les dents du diable;Adventure, Drama, Crime;6.8;2120;1960
Le bouc émissaire;Thriller, Crime, Mystery;6.8;2648;1950
Le signe du lion;Drama;7.2;2444;1960
Soudain l'été dernier;Thriller, Drama, Mystery;7.5;18179;1950
Fripouillard et Cie;Comedy;7.0;1054;1950
Tout près de Satan;Romance, Drama, Action, War;6.5;1295;1950
La vache et le prisonnier;Comedy, Adventure, War;7.1;1797;1950
Cargaison dangereuse;Thriller, Mystery, Adventure, Crime, Action, Drama;6.7;3086;1950
Section d'assaut sur le Sittang;Drama, War;7.1;1409;1950
À bout de souffle;Drama, Crime;7.7;91091;1960
À double tour;Drama, Crime;6.6;1476;1950
Le silence de la colère;Drama;7.2;1771;1960
L'aventure;Romance, Drama, Mystery;7.7;35358;1960
Austerlitz;Drama, War, History;6.2;1037;1960
Le bel Antonio;Comedy, Drama;7.3;2016;1960
Les bonnes femmes;Romance, Drama, Mystery;7.2;3310;1960
Les Maîtresses de Dracula;Horror;6.6;9465;1960
Le capitan;Adventure, Action;6.3;1050;1960
